team,squad_value_m
England,1500.0
France,1200.0
Brazil,1100.0
Portugal,1000.0
Spain,950.0
Argentina,850.0
Germany,750.0
Netherlands,650.0
Italy,600.0
Belgium,500.0
Uruguay,450.0
Croatia,300.0
USA,320.0
Senegal,280.0
Morocco,320.0
Switzerland,280.0
Mexico,220.0
Colombia,180.0
Japan,240.0
South Korea,180.0
Canada,160.0
Ecuador,200.0
Turkey,100.0
Czech Republic,90.0
Sweden,250.0
Bosnia and Herzegovina,60.0
South Africa,40.0
Paraguay,130.0
Qatar,40.0
Haiti,15.0
Eritrea,50.0
Guyana,50.0
Palestine,50.0
Israel,50.0
Eswatini,50.0
Lesotho,50.0
Chile,100.0
Mauritania,50.0
Curaçao,20.0
Venezuela,110.0
Saint Lucia,50.0
Iran,65.0
Republic of Ireland,50.0
Bulgaria,50.0
Honduras,30.0
Székely Land,50.0
Libya,50.0
Moldova,50.0
Tunisia,45.0
Burkina Faso,50.0
Jordan,15.0
Algeria,160.0
Panama,40.0
Puerto Rico,50.0
Syria,50.0
Rwanda,50.0
North Macedonia,50.0
Bahrain,50.0
Kyrgyzstan,50.0
Guinea-Bissau,50.0
El Salvador,50.0
Barbados,50.0
Antigua and Barbuda,50.0
Saint Vincent and the Grenadines,50.0
Benin,50.0
Brunei,50.0
Yemen,50.0
Congo,50.0
Serbia,300.0
Solomon Islands,50.0
Comoros,50.0
Pakistan,50.0
Vanuatu,50.0
Iceland,50.0
Kuwait,50.0
Samoa,50.0
Somalia,50.0
Angola,50.0
Oman,50.0
Poland,220.0
Luxembourg,50.0
Madagascar,50.0
Kosovo,50.0
Singapore,50.0
Vietnam,50.0
Philippines,50.0
Slovenia,50.0
Peru,80.0
Gozo,50.0
Romania,110.0
New Caledonia,50.0
Indonesia,50.0
Malta,50.0
Papua New Guinea,50.0
Zambia,50.0
Bangladesh,50.0
Northern Ireland,50.0
Niger,50.0
Malawi,50.0
Azerbaijan,50.0
Sierra Leone,50.0
Jamaica,90.0
Tanzania,50.0
China,50.0
Liberia,50.0
Mozambique,50.0
Seychelles,50.0
United States,50.0
Cambodia,50.0
Gibraltar,50.0
Mali,120.0
Faroe Islands,50.0
Cape Verde,35.0
Yemen DPR,50.0
São Tomé and Príncipe,50.0
Monaco,50.0
Zimbabwe,50.0
Thailand,50.0
Guatemala,50.0
Taiwan,50.0
Namibia,50.0
Saudi Arabia,55.0
Djibouti,50.0
Ghana,150.0
Liechtenstein,50.0
Ethiopia,50.0
Lithuania,50.0
Norway,480.0
DR Congo,50.0
Bahamas,50.0
Mongolia,50.0
Afghanistan,50.0
Austria,280.0
Turks and Caicos Islands,50.0
Hungary,140.0
Tajikistan,50.0
Wales,150.0
Uzbekistan,30.0
Cuba,50.0
United States Virgin Islands,50.0
Nigeria,340.0
Chad,50.0
Gabon,50.0
Albania,50.0
Mauritius,50.0
Sri Lanka,50.0
Grenada,50.0
Belize,50.0
Maldives,50.0
Trinidad and Tobago,50.0
Bolivia,60.0
New Zealand,40.0
Bhutan,50.0
Estonia,50.0
North Korea,50.0
Burundi,50.0
Iraq,15.0
Slovakia,130.0
Fiji,50.0
Dominica,50.0
Tahiti,50.0
Andorra,50.0
Egypt,130.0
Togo,50.0
Saint Kitts and Nevis,50.0
Laos,50.0
Russia,50.0
Hong Kong,50.0
Greece,150.0
India,50.0
United Arab Emirates,50.0
Guinea,50.0
Ukraine,350.0
American Samoa,50.0
Guam,50.0
Cyprus,50.0
Georgia,50.0
Botswana,50.0
Malaysia,50.0
Latvia,50.0
Costa Rica,60.0
Belarus,50.0
Macau,50.0
Lebanon,50.0
Central African Republic,50.0
Kenya,50.0
Cameroon,140.0
Gambia,50.0
Timor-Leste,50.0
Scotland,260.0
Myanmar,50.0
South Sudan,50.0
Sudan,50.0
Tonga,50.0
Turkmenistan,50.0
Kazakhstan,50.0
Armenia,50.0
Finland,50.0
Australia,80.0
Denmark,420.0
Nepal,50.0
Uganda,50.0
Suriname,50.0
Nicaragua,50.0
Equatorial Guinea,50.0
Dominican Republic,50.0
Anguilla,50.0
Montenegro,50.0
Ivory Coast,250.0
